Competency|Definition|L1|L2|L3|L4|L5
User Experience Research|Kemampuan untuk secara sistematis menyelidiki dan memahami interaksi, preferensi, dan perilaku pengguna untuk meningkatkan desain dan kegunaan produk atau layanan, menggunakan berbagai metode penelitian kualitatif dan kuantitatif, seperti wawancara pengguna, survei, pengujian kegunaan, dan analisis metrik.|"*Mampu menjelaskan konsep dasar terkait UX research.
*Mampu menjelaskan prosedur dasar untuk riset UX seperti survey online, wawancara pengguna, dan observasi."|"*Menerapkan metode riset user experience seperti analisis kompetitif, analisis user journey, dan pengujian pengguna di bawah supervisi.
*Melakukan analisis data hasil riset untuk mendukung tugas tim di bawah supervisi.
*Melakukan tugas-tugas riset sederhana di bawah supervisi."|"*Menerapkan berbagai metode riset user experience secara mandiri.
*Merancang riset user experience lanjutan termasuk, melakukan pengujian prototipe, analisis kebutuhan pengguna, dan pengukuran kepuasan pengguna secara mandiri.
*Menganalisis secara mendalam hasil riset dan menyampaikan pada tim."|"*Mengambil dan menetapkan keputusan strategis berdasarkan hasil temuan riset secara komprehensif.
*Melakukan monitoring dan evaluasi terhadap proyek riset yang melibatkan berbagai aspek desain.
*Mengintegrasikan metode riset user experience yang khusus dan tingkat lanjut untuk kasus yang kompleks."|"*Mengembangkan framework dan pedoman riset yang inovatif untuk mengatasi tantangan kompleks dalam pengembangan produk dan layanan yang sesuai tren teknologi terkini.
*Memberikan arahan strategis terhadap riset user experience di tingkat industri yang lebih luas dan berdampak pada produk dan layanan perusahaan untuk memastikan riset yang menyeluruh."
User Experience Writing|Kemampuan untuk merancang dan menulis teks yang jelas, ringkas, dan beresonansi dengan pengguna dalam produk digital dengan memahami kebutuhan dan perilaku pengguna serta mampu bekerja sama dengan tim desain, developer, dan stakeholder lainnya.|*Mampu menjelaskan konsep-konsep dasar UX writing dan juga manfaatnya untuk perusahaan, persona pengguna dan alur pengguna.|"*Mampu menjelaskan dan menyelaraskan prinsip-prinsip desain UX ke dalam tulisan yang engaging dan sesuai dengan persona pengguna.
*Melakukan riset cara penyajian konten/tulisan ke pengguna dengan menerapkan metode seperti a/b testing di bawah supervisi."|"*Membuat tulisan yang persuasif dan kontekstual untuk berbagai jenis produk digital dan sesuai dengan persona pengguna secara mandiri.
*Mengembangkan strategi UX Writing yang engaging dan sesuai dengan persona pengguna."|"*Melakukan monitoring dan evaluasi hasil penulisan untuk memastikan sesuai dengan persona pengguna dan tujuan konten.
*Berkolaborasi dengan internal perusahaan/unit dalam pembuatan konten digital dengan memberikan masukan terkait strategi pembuatan konten."|"*Mengembangkan pedoman berdasarkan leading practice/trend dalam penulisan digital yang dapat dijadikan acuan untuk perusahaan dalam UX writing.
*Memberikan arahan strategis terkait solusi dan metodologi baru dalam UX writing untuk meningkatkan efektivitas komunikasi antara produk atau layanan dengan pengguna."
User Interface Design|Kemampuan untuk membuat dan mengoptimalkan elemen visual dan interaktif dari produk atau sistem digital yang menyenangkan secara estetika, ramah pengguna, dan selaras dengan tujuan pengalaman pengguna (UX) secara keseluruhan, memahami cara membuat antarmuka yang memandu pengguna dengan mulus melalui pengalaman digital sambil memberikan interaksi yang menarik dan intuitif.|"*Mampu menjelaskan prinsip-prinsip desain user interface.
*Mampu menjelaskan tools desain UI/UX yang umum digunakanseperti namun tidak terbatas pada Adobe XD, Figma, Sketch, dan InVision."|"*Menerapkan pengetahuan dasar User Interface Design seperti tata letak, warna, tipografi, dan ikonografi di bawah supervisi.
*Membuat prototyping yang interaktif melalui penggunaan mockup di bawah supervisi.
*Membuat User Interface Design sederhana dengan fokus pada kegunaan (usability) dasar di bawah supervisi."|"*Menerapkan pemahaman tentang interaksi pengguna, user flow, dan pengalaman pengguna (user experience) dalam desain antarmuka secara mandiri.
*Menerapkan prinsip-prinsip desain visual yang menarik dan konsisten secara mandiri."|"*Mengintegrasikan tren terbaru pada konsep User Interface Design.
*Melakukan monitoring dan evaluasi terhadap proyek user interface yang kompleks untuk memastikan kualitas produk.
*Memberikan rekomendasi untuk mengoptimalkan user interface berdasarkan feedback pengguna dan data penggunaan, agar sesuai standar dan selaras dengan kebutuhan bisnis."|"*Mengembangkan strategi desain user interface yang inovatif untuk perusahaan dan anak perusahaan, serta metrik yang penting untuk perancangan user interface untuk memproyeksikan tren, persyaratan, dan permintaan pengguna.
*Memberikan guidance atau panduan untuk pengembangan user interface design baik secara keseluruhan maupun teknis."
Content Development & Management|Kemampuan untuk membuat dan mengelola konten komersial konvensional (seperti namun tidak terbatas pada artikel dalam media cetak, pamflet, brosur, billboard, iklan radio, dsb.) dan digital (seperti namun tidak terbatas pada website, blog post, konten media sosial, foto, video, animasi, ilustrasi, audio digital, web game, dsb.) dan mengambil keputusan terhadap konten yang telah atau akan dipublikasikan. Hal ini termasuk membuat copywriting dan desain visual, melakukan analisis tren dan kurasi konten, mengelola publikasi dan distribusi konten pada berbagai saluran dan media (digital dan non-digital), mengelola optimalisasi pencarian konten (Search Engine Optimization), serta mengukur kinerja dan engagement konten yang dirilis/disebarkan untuk optimalisasi.|"*Mampu menjelaskan proses pembuatan dan pengelolaan konten konvensional maupun digital mulai dari implementasi strategi dan rencana pengembangan konten, penyesuaian konten yang diproduksi dengan platform distribusi konten, visualisasi ide dan gagasan menjadi produk konten, penerimaan dan pengolahan umpan balik untuk menjalankan proses revisi produk konten, hingga faktor penting dalam mengevaluasi kinerja dan engagement konten yang dirilis/disebarkan untuk optimalisasi.
*Mampu menjelaskan teori terkait instrumen penunjang pembuatan konten yang diperlukan (seperti namun tidak terbatas pada perangkat lunak desain grafis seperti Adobe Pohotoshop, Adobe Ilustrator, Vl Draw; serta perangkat keras seperti komputer, tablet, berikut dengan aksesoris penunjang lainnya)."|"*Menerapkan instrumen pendukung pembuatan konten digital seperti namun tidak terbatas pada perangkat lunak desain grafis seperti Adobe, Vl, Audio Workstation, atau perangkat lunak lain yang serupa serta perangkat keras yang relevan di bawah supervisi.
*Melakukan revisi produk konten berdasarkan umpan balik yang diterima di bawah supervisi."|"*Menerapkan pemahaman terkait pembuatan konten untuk menjalankan keselurahan aspek operasional pembuatan konten secara mandiri.
*Membuat produk media berupa konten desain grafis, video, audio, maupun integrasi ketiganya berdasarkan ide, gagasan, atau rencana yang telah dibentuk serta tren konten digital terbaru dengan menggunakan instrumen pendukung pembuatan konten secara mandiri.
*Menerapkan perawatan instrumen pendukung pembuatan media konten seperti troubleshooting atau pembaruan sederhana perangkat lunak dan perangkat keras yang relevan terhadap proses pembuatan konten secara mandiri."|"*Memformulasikan strategi operasional pembuatan konten serta implementasi panduan produksi konten pada kelompok kerja berdasarkan prinsip-prinsip pembuatan konten konvensional maupun digital.
*Mengorkestrasikan permintaan, ide, gagasan, dan rencana konten menjadi strategi atau agenda produksi yang bersifat praktis.
*Melakukan monitoring dan evaluasi terhadap progres, kualitas, dan kesesuaian konten pada pra dan pasca perilisan terhadap panduan dan rencana untuk memberikan rekomendasi atau arahan revisi produk konten."|"*Memberikan arahan strategis terkait optimalisasi produksi konten konvensional maupun digital terutama pada alur dan proses pengembangan konten melalui implementasi tren teknologi dan inovasi sistem integrasi konten untuk meningkatkan efektivitas, efisiensi, dan kualitas produk konten.
*Memberikan guidance dalam produksi dan manajemen konten berdasarkan kajian terhadap prediksi terkait tren konten konvensional dan digital, arah pergerakan minat dan kebutuhan pasar, potensi munculnya platform distribusi konten digital terbaru, perkembangan kebijakan distribusi konten, serta perkembangan strategi bisnis perusahaan dan/atau anak perusahaan."
Content Strategy & Planning|Kemampuan untuk merancang strategi dan desain konten dari konseptualisasi pesan yang akan disampaikan untuk meningkatkan kesadaran pelanggan, ketertarikan pelanggan, dan market presence, mulai dari mendefinisikan jenis konten dan media distribusi yang akan digunakan, menyusun kalender konten, menetapkan target sasaran, hingga menentukan parameter dan metode untuk mengukur keberhasilan konten.|"*Mampu menjelaskan konsep strategi dan perencanaan perancangan konten konvensional maupun digital termasuk integrasi minat dan kebutuhan pasar dengan konten yang dihasilkan.
*Mampu menjelaskan proses penyusunan panduan pembuatan konten (seperti namun tidak terbatas pada pemilihan tema, warna, tata bahasa, suara, pola interaksi), analisis platform distribusi media (seperti namun tidak terbatas pada poster, telepon, email, media sosial, website, aplikasi), serta perancangan jadwal dan agenda proyek pembuatan konten."|"*Melakukan riset minat dan kebutuhan pasar serta riset terkait kebijakan publik yang relevan terhadap pembuatan konten konvensional maupun digital.
*Melakukan pengumpulan data terkait ketersediaan instrumen pembuatan konten yang dimiliki oleh perusahaan dan/atau anak perusahaan di bawah supervisi.
*Mengidentifikasi jenis konten, media distribusi, dan metode analisis target sasaran konten."|"*Merancang strategi dan perencanaan konten seperti namun tidak terbatas pada mendefinisikan jenis konten dan media distribusi yang akan digunakan serta menyusun kalender konten secara mandiri.
*Merancang panduan dan/atau prosedur pembuatan konten seperti namun tidak terbatas pada penentuan format konten, channel konten, pemilihan tema, warna, tata bahasa, suara, dan pola interaksi berdasarkan hasil riset minat dan kebutuhan pasar serta kebijakan publik yang relevan secara mandiri.
*Menerapkan metode pengukuran perkembangan atau pencapaian proyek pembuatan konten berdasarkan target sasaran dan parameter keberhasilan untuk mengidentifikasi area perbaikan."|"*Memformulasikan instrumen dan prosedur pengadaan dan permintaan pembuatan konten termasuk implementasinya pada kelompok kerja.
*Melakukan monitoring dan evaluasi terkait hasil panduan dan/atau prosedur pembuatan konten (seperti namun tidak terbatas pada format konten, channel konten, pemilihan tema, warna, tata bahasa, suara, dan pola interaksi).
*Memformulasikan target sasaran, parameter, dan metode untuk mengukur keberhasilan konten, serta langkah optimalisasi/peningkatan area perbaikan yang teridentifikasi."|"*Memberikan arahan strategis terkait optimalisasi perencanaan strategi konten yang tepat sasaran untuk meningkatkan efektivitas, efisiensi, dan kualitas rencana konten, serta memastikan kesesuaian konten dengan kebutuhan pasar.
*Memberikan guidance dalam proses perencanaan konten berdasarkan kajian terhadap prediksi terkait tren konten konvensional dan digital, arah pergerakan minat dan kebutuhan pasar, potensi munculnya platform distribusi konten digital terbaru, perkembangan kebijakan distribusi konten, serta perkembangan strategi bisnis perusahaan dan/atau anak perusahaan."
Customer Analytics & Information Management|Kemampuan untuk mengumpulkan, menganalisis, mengelola, dan memproyeksikan data pelanggan berdasarkan standar dan peraturan perlindungan data pelanggan yang berlaku (seperti namun tidak terbatas pada UU PDP, General Data Protection Regulation atau GDPR, ISO 31700-1 dan ISO 31700-2) untuk menghasilkan informasi penting mengenai pelanggan seperti perilaku, kebutuhan, preferensi produk atau layanan, pola pembelian, hingga segmentasi pelanggan guna membantu proses pengambilan keputusan perusahaan dan/atau anak perusahaan.|"*Mampu menjelaskan konsep pengelolaan dan pemanfaatan data pelanggan termasuk proses pengumpulan data, analisis data, pengelolaan data, proyeksi data, hingga perancangan laporan hasil analisis data pelanggan (seperti namun tidak terbatas pada data demografi, data transaksi, dan data engagement pada media komunikasi).
*Mampu menjelaskan teori terkait instrumen dan metode analisis data pelanggan secara statistik (seperti namun tidak terbatas pada analisis segmen pelanggan, analisis sentimen, analisis churn rate, analisis lifetime value).
*Mampu menjelaskan peraturan perlindungan data pelanggan yang berlaku di Indonesia dan internasional (seperti namun tidak terbatas pada UU PDP, General Data Protection Regulation atau GDPR, ISO 31700-1 dan ISO 31700-2)."|"*Melakukan riset dan pengumpulan data pelanggan dari berbagai sumber menggunakan instrumen teknologi seperti namun tidak terbatas pada search engine.
*Mengidentifikasi metode analisis yang relevan terhadap data pelanggan dan tujuan tertentu dalam lingkup tugas yang ditetapkan.
*Melakukan analisis dan pengelolaan data dengan memanfaatkan perangkat lunak perhitungan statistika sebagai dasar pemetaan potensi perkembangan performa bisnis (seperti namun tidak terbatas pada targer pasar baru, heat-map transaksi, spesifikasi produk kompetitif) di bawah supervisi."|"*Menerapkan metode analisis statistik (seperti namun tidak terbatas pada deskriptif, diagnostik, prediktif, komparatif, korelasional, dan konfirmatif) dengan memanfaatkan instrumen teknologi yang relevan untuk menghasilkan informasi penting mengenai pelanggan secara mandiri.
*Melakukan pemecahan masalah terkait analisis dan manajemen data pelanggan dengan mempertimbangkan faktor-faktor kontekstual yang relevan.
*Membuat laporan hasil analisis data pelanggan yang komprehensif dengan mempertimbangkan faktor-faktor relevan seperti namun tidak terbatas pada kebutuhan pemangku kepentingan dan kebijakan perusahaan secara mandiri."|"*Melakukan monitoring dan evaluasi terkait kualitas laporan hasil analisis data pelanggan yang diajukan serta memberikan umpan balik berupa rekomendasi perbaikan.
*Mengintegrasikan hasil analisis data pelanggan dengan tujuan, kebijakan, ataupun permasalahan perusahaan dan/atau anak perusahaan untuk menghasilkan rekomendasi keputusan bisnis yang berbasis data pelanggan.
*Berkolaborasi dengan internal perusahaan untuk menyampaikan hasil analisis data pelanggan dan mendiskusikan dampak, risiko, serta langkah selanjutnya dari hasil tersebut."|"*Mengembangkan pedoman terkait pengumpulan, analisis, pengelolaan, dan proyeksi data pelanggan berdasarkan leading practice dan tren terkini yang telah diadaptasi sesuai dengan konteks perusahaan dan/atau anak perusahaan untuk mendukung pengambilan keputusan bisnis yang berpusat pada pelanggan.
*Memberikan arahan strategis terkait pengelolaan dan pemanfaatan data pelanggan secara keseluruhan untuk memecahkan masalah atau mengambil keputusan bisnis yang kompleks.
*Berkolaborasi dengan pihak eksternal dalam praktik pengumpulan data, analisis, dan manajemen data pelanggan untuk menghasilkan wawasan yang inovatif dan berguna sebagai dasar penentuan tujuan dan keputusan bisnis perusahaan dan/atau anak perusahaan."
Customer Experience Management & Optimization|Kemampuan untuk mengimplementasikan strategi optimalisasi peningkatan customer experience yang meliputi melakukan pengumpulan data dan analisis perilaku pelanggan saat berinteraksi dan/atau transaksi, melakukan survei pelanggan untuk mendapatkan umpan balik, dan melakukan evaluasi secara berkala untuk mengukur efektivitas dari implementasi serta menghasilkan rekomendasi perbaikan terhadap desain customer experience.|"*Mampu menjelaskan konsep manajemen customer experience serta proses implementasi strategi manajemen customer experience (seperti namun tidak terbatas pada berbagai tahap customer journey dan touchpoint pelanggan). 
*Mampu menjelaskan metrik yang digunakan dalam menilai customer experience (seperti namun tidak terbatas pada churn rate, retention rate, average resolution time).
*Mampu menjelaskan teori terkait metode pengumpulan data dan analisis perilaku pelanggan."|"*Melakukan pengumpulan data pelanggan (seperti namun tidak terbatas pada survei pelanggan) terkait customer experience sebagai dasar pengukuran efektivitas dari implementasi strategi customer experience di bawah supervisi.
*Melakukan analisis data dan perilaku pelanggan sebagai dasar pengukuran efektivitas dari implementasi strategi customer experience di bawah supervisi.
*Mengidentifikasi aspek atau area tertentu dari customer experience yang memerlukan perbaikan atau peningkatan."|"*Menganalisis kesenjangan kepuasan customer experience saat ini dengan target kepuasan yang ingin dicapai seperti namun tidak terbatas pada survei pelanggan dan terjun langsung dalam perjalanan pelanggan.
*Merancang rekomendasi perbaikan terhadap desain customer experience berdasarkan pengukuran efektivitas dari implementasi strategi customer experience secara mandiri.
*Menerapkan strategi perbaikan customer experience secara mandiri."|"*Melakukan monitoring dan evaluasi terhadap berbagai rekomendasi perbaikan untuk desain customer experience sebagai dasar pengambilan keputusan rekomendasi yang akan diterapkan.
*Mengambil keputusan terhadap rekomendasi perbaikan desain customer experience yang akan diterapkan.
*Berkolaborasi dengan internal perusahaan untuk menerapkan dan mengevaluasi strategi customer experience yang konsisten dan terintegrasi secara efektif."|"*Mengembangkan pedoman berdasarkan leading practice dan tren terkini dalam manajemen customer experience yang diadaptasi sesuai dengan konteks dan kebutuhan perusahaan dan/atau anak perusahaan untuk mendorong pengalaman pelanggan yang positif dan terintegrasi.
*Memberikan arahan strategis terkait potensi pemanfaatan teknologi dalam meningkatkan customer experience seperti namun tidak terbatas pada augmented reality (AR) atau virtual reality (VR), metaverse, dan artificial intelligence untuk menghasilkan pengalaman pelanggan yang imersif dan mendorong keterlibatan pelanggan."
Customer Experience Strategy & Planning|Kemampuan untuk menyusun strategi dan roadmap customer experience (seperti namun tidak terbatas pada customer persona dan journey map) dengan melakukan riset dan analisis terhadap karakteristik, perilaku, serta minat pelanggan untuk menciptakan customer experience yang positif dan terintegrasi pada setiap touchpoint pelanggan.|"*Mampu menjelaskan konsep framework customer experience, seperti namun tidak terbatas pada customer journey, customer persona, dan touchpoint pelanggan.
*Mampu menjelaskan proses customer experience pada perusahaan dan/atau anak perusahaan beserta touchpoint pelanggan dan kebutuhan dasar pelanggan."|"*Melakukan riset terhadap karakteristik, perilaku, serta minat pelanggan sebagai dasar untuk menciptakan customer experience yang positif.
*Melakukan pendefinisian persona pelanggan dan touchpoint yang relevan berdasarkan data yang tersedia dan analisis kebutuhan pelanggan di bawah supervisi.
*Mengidentifikasi peluang peningkatan customer experience sebagai dasar untuk mengusulkan solusi yang sesuai dengan tujuan bisnis."|"*Mendesain customer journey end-to-end berdasarkan persona pelanggan, touchpoint, dan data relevan lainnya untuk menciptakan strategi customer experience yang positif dan terintegrasi secara mandiri.
*Menganalisis kesenjangan kepuasan customer experience saat ini dengan target kepuasan yang ingin dicapai seperti namun tidak terbatas pada studi perbandingan dengan kompetitor dan identifikasi touchpoint yang lemah.
*Mengembangkan strategi customer experience secara berkala untuk menyesuaikan perubahan karakteristik, perilaku, dan minat pelanggan serta menutup kesenjangan yang ada secara mandiri."|"*Melakukan monitoring dan evaluasi terhadap berbagai strategi customer experience yang telah dibuat untuk identifikasi area perbaikan.
*Mengintegrasikan strategi customer experience ke dalam strategi dan budaya organisasi.
*Berkolaborasi dengan internal perusahaan untuk menerapkan dan mengembangkan strategi customer experience yang konsisten dan terintegrasi secara efektif."|"*Mengembangkan pedoman berdasarkan leading practice dan tren terkini dalam perencanaan strategi customer experience yang diadaptasi sesuai dengan konteks dan kebutuhan perusahaan dan/atau anak perusahaan untuk menciptakan customer experience yang dapat mendorong pertumbuhan profitabilitas perusahaan.
*Memberikan arahan strategis terkait tujuan dan keputusan bisnis strategis perusahaan dan/atau anak perusahaan jangka panjang berdasarkan insights yang berpusat pada karakteristik, perilaku, dan minat pelanggan."
Customer Relationship & Engagement Management|Kemampuan untuk membangun dan menjaga hubungan jangka panjang dengan pelanggan, termasuk merancang dan mengelola program loyalitas, mengelola interaksi dan komunikasi pelanggan dari berbagai channel (seperti namun tidak terbatas pada email, media sosial, situs web, tatap muka), menggunakan software CRM untuk mengotomasi interaksi dan komunikasi dengan pelanggan, melakukan riset dan survei kepuasan pelanggan, serta analisis data CRM untuk evaluasi perkembangan hubungan pelanggan.|"*Mampu menjelaskan konsep terkait pengelolaan hubungan dengan pelanggan seperti namun tidak terbatas pada pengelolaan interaksi dengan pelanggan, perancangan program loyalitas pelanggan, serta evaluasi perkembangan hubungan pelanggan.
*Mampu menjelaskan proses komunikasi dengan pelanggan menggunakan berbagai channel komunikasi seperti namun tidak terbatas pada email, telepon, media sosial, atau situs web.
*Mampu menjelaskan teori penggunaan teknologi software CRM untuk mengotomatiskan interaksi dan komunikasi dengan pelanggan."|"*Menerapkan komunikasi dan program loyalitas untuk pelanggan di bawah supervisi.
*Mengidentifikasi kesempatan untuk meningkatkan interaksi pelanggan melalui berbagai saluran komunikasi.
*Melakukan riset dan pengumpulan data kepuasan pelanggan dengan berbagai teknik seperti namun tidak terbatas pada survei pelanggan sebagai dasar evaluasi perkembangan hubungan pelanggan."|"*Menerapkan proses operasional pengelolaan hubungan dengan pelanggan seperti namun terbatas pada program loyalitas serta interaksi dan komunikasi dengan pelanggan secara mandiri.
*Menggunakan software CRM untuk mengotomasi interaksi dan komunikasi dengan pelanggan.
*Merancang survei kepuasan pelanggan serta menganalisis hasil survei dan data CRM untuk mengevaluasi perkembangan hubungan pelanggan secara mandiri."|"*Melakukan monitoring dan evaluasi program hubungan pelanggan untuk memberikan rekomendasi strategi yang optimal untuk meningkatkan pengelolaan hubungan pelanggan.
*Mengambil keputusan terkait program peningkatan hubungan pelanggan berdasarkan hasil evaluasi dan analisis survei dan data pelanggan.
*Berkolaborasi dengan tim internal perusahaan untuk mengoptimalkan penggunaan software CRM dalam mengelola hubungan dengan pelanggan."|"*Mengembangkan framework pengelolaan hubungan pelanggan berdasarkan leading practice dan tren teknologi terkini yang diadaptasi sesuai dengan konteks dan kebutuhan perusahaan dan/atau anak perusahaan untuk mendorong pertumbuhan profitabilitas perusahaan.
*Memberikan arahan strategis yang inovatif terkait pengelolaan hubungan pelanggan untuk meningkatkan retensi pelanggan dan kepuasan pelanggan serta pengambilan keputusan bisnis yang berpusat pada pelanggan.
*Berkolaborasi dengan pihak eksternal seperti agen riset atau konsultan untuk meningkatkan strategi pengelolaan hubungan pelanggan perusahaan dan/atau anak perusahaan."
Customer Support|Kemampuan untuk memberikan layanan bantuan pelanggan melalui media komunikasi online atau offline (seperti namun tidak terbatas pada telepon, email, media sosial, customer service center) termasuk menerima dan menanggapi aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik pelanggan, memberikan informasi yang akurat tentang produk dan/atau layanan, membantu eskalasi atau pembuatan tiket untuk masalah pelanggan, serta memastikan masalah pelanggan telah terselesaikan guna meningkatkan kualitas pelayanan.|"*Mampu menjelaskan prosedur pemberian dukungan pada pelanggan termasuk namun tidak terbatas pada penerimaan, penanggapan, dan eskalasi aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik pelanggan seperti pemberian informasi produk dan/atau layanan ataupun penanggapan masalah teknis pelanggan.
*Mampu menjelaskan teori terkait produk dan/atau layanan yang ditawarkan oleh perusahaan dan/atau anak perusahaan beserta masalah teknis pada produk dan/atau layanan yang biasa dialami oleh pelanggan.
*Mampu menjelaskan teori terkait instrumen media komunikasi antara perusahaan dan/atau anak perusahaan dengan pelanggan (seperti namun tidak terbatas pada telepon, email, media sosial, customer service center)."|"*Melakukan prosedur penerimaan, penanggapan, dan eskalasi aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik pelanggan dari berbagai instrumen media komunikasi di bawah supervisi.
*Menggunakan sistem ticketing untuk membuat tiket terkait masalah teknis maupun non-teknis pelanggan jika diperlukan di bawah supervisi.
*Mengumpulkan data aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik pelanggan secara terstruktur sebagai dasar pelaporan dan analisis lebih lanjut untuk mengidentifikasi ruang perbaikan dan wawasan terkait pelanggan."|"*Menerapkan prosedur penerimaan, penanggapan, dan eskalasi aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik pelanggan dari berbagai instrumen media komunikasi secara mandiri.
*Melakukan pemecahan masalah teknis maupun non-teknis pelanggan (seperti namun tidak terbatas pada aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik) secara relevan dan bermakna sesuai dengan prosedur secara mandiri.
*Menganalisis jenis dan spesifikasi aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik pelanggan untuk membat laporan dan mengidentifikasi ruang perbaikan dan wawasan terkait pelanggan."|"*Melakukan monitoring dan evaluasi terhadap operasional pemberian layanan bantuan pelanggan untuk memastikan masalah pelanggan telah terselesaikan dan mengidentifikasi ruang perbaikan dari prosedur yang ada.
*Memformulasikan prosedur pemberian layanan bantuan pelanggan melalui berbagai media komunikasi (seperti namun tidak terbatas pada prosedur sapaan, penggunaan bahasa, urutan pertanyaan, alur pemecahan masalah)
*Berkolaborasi dengan internal perusahaan yang relevan untuk mengatasi masalah teknis maupun non-teknis pelanggan (seperti namun tidak terbatas pada aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik) yang kompleks dan telah dieskalasi."|"*Memberikan arahan strategis terkait optimalisasi strategi operasional pemberian layanan bantuan pelanggan berdasarkan tren industri relevan sesuai dengan lini bisnis perusahaan, regulasi terbaru, perkembangan norma dan etika profesional, dan inovasi teknologi terkini untuk optimalisasi operasional bisnis.
*Memberikan guidance untuk menyelesaikan masalah teknis maupun non-teknis pelanggan (seperti namun tidak terbatas pada aduan masalah teknis, pertanyaan, kritik, saran, dan umpan balik) yang kompleks dan telah dieskalasi."
Brand Equity Management|Kemampuan untuk mengembangkan dan mengelola identitas dan profil merek perusahaan dan/atau anak perusahaan termasuk merancang dan mengembangkan identitas merek (seperti namun tidak terbatas pada logo, warna, typhography, gambar, dan/atau branded tools lainnya), menyusun panduan penggunaan identitas merek, serta mengelola kualitas dan konsistensi penggunaan identitas merek dan atribut terkait.|"*Mampu menjelaskan konsep brand equity dan hubungannya dengan brand identity, strategi pengembangan brand identity, dan software desain grafis yang relevan untuk pembuatan identitas merek dan atribut terkait.
*Mampu menjelaskan teori tentang unsur-unsur dalam pengembangan brand identity seperti namun tidak terbatas pada persepsi pelanggan terhadap merek perusahaan serta logo dan warna yang umum digunakan merek perusahaan.
*Mampu menjelaskan konsep dasar konsistensi brand dalam lingkungan perusahaan seperti namun tidak terbatas pada logo, warna, typhography, gambar, dan/atau branded tools lainnya."|"*Melakukan analisis kompetitor dan survei sederhana untuk memahami tren persepsi dan identitas merek terkini di bawah supervisi.
*Menerapkan prosedur pengelolaan identitas merek yang berlaku pada perusahaan di bawah supervisi."|"*Menerapkan perencanaan, pengelolaan, pengembangan, dan implementasi strategi peningkatan nilai brand berdasarkan prinsip-prinsip brand equity management serta faktor-faktor yang memengaruhi persepsi pelanggan terhadap merek secara mandiri.
*Melakukan pengelolaan konsistensi dan pengembangan strategi branding yang sesuai pada target audiens di berbagai platform atau channel untuk memastikan perusahaan memiliki identitas merek yang kuat secara mandiri.
*Menganalisis kesenjangan persepsi merek perusahaan berdasarkan data (seperti namun tidak terbatas pada data survei kuesioner) untuk mempertahankan dan meningkatkan kualitas merek perusahaan."|"*Memformulasikan strategi branding serta guidelines branding seperti warna, font, dan bentuk bagi setiap atribut dan/atau produk brand perusahaan untuk mendorong dampak branding yang signifikan.
*Mengintegrasikan guidelines branding dengan hasil analisis tren dan perilaku pesaing ataupun pasar (seperti namun tidak terbatas pada analisis benchmarking dan analisis sentimen media sosial).
*Melakukan monitoring dan evaluasi terhadap efektivitas strategi branding yang digunakan untuk mengidentifikasi area peningkatan yang mungkin dilakukan kedepannya dan menyelesaikan masalah terkait konsistensi merek jika ada."|"*Memberikan arahan strategis tentang pengelolaan brand equity dan brand identity perusahaan secara komprehensif seperti namun tidak terbatas pada merancang dan mengembangkan identitas merek, menyusun panduan penggunaan identitas merek untuk memastikan kualitas dan konsistensi merek tetap terjaga.
*Menyelaraskan arah gerak organisasi, tren pasar, preferensi pelanggan, dan perkembangan teknologi dengan kebutuhan transformasi branding perusahaan dan/atau anak perusahaan untuk memastikan branding dapat diterima dengan baik serta sesuai dengan arah strategi dan identitas perusahaan."
